mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
Avg,,1.0,1.0,1.5625,0.25,2.25,3.0;3.0;3.5;2.5;5.0;3.0;4.0;4.0;2.5;6.0;2.5;3.0;6.0;2.5;4.0;2.5;3.0;2.75;4.0;2.5;2.5;2.5;4.0
mdd-ls-xp-kb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,0.5,0.5,1.0,0.25,1.75,23.5
2,lsxp-CiShiJian-HuaiHeYing-2.xml,1.0,0.5,1.0,0.5,1.5,22.5
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,7.0
4,lsxp-JiangShenEr-SanJiaDian.xml,0.5,0.5,1.0,0.25,1.75,2.0;2.0
5,lsxp-JianMaSu-ZhanMaSu.xml,1.0,1.0,1.0,0.5,3.0
6,lsxp-WeiCengKai-QiYuanBao.xml,1.0,0.5,1.0,0.25,1.5,2.0;4.0
7,lsxp-WoZhuYe-ZhuiHanXin.xml,0.5,0.5,1.0,0.25,1.5,2.0
8,lsxp-YiShiWu-YuCangJian.xml,1.0,0.5,1.0,0.5,1.0
9,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,0.5,1.0
10,lsxp-ZheYiFeng-DingJunShan.xml,1.0,1.0,1.0,0.5,2.0
11,lsxp-ZouYingLong-DaYanSong.xml,0.5,0.5,0.5,0.25,4.0
12,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,0.6875,1.0,0.25,1.0
13,sdxp-DangNianHan-SanJiZhang.xml,1.0,1.0,1.0,0.5,2.0
14,sdxp-SuLongWei-WuJiaPo.xml,0.5,0.5,1.0,0.5,1.5,2.0;2.0;2.0;2.0;2.0;2.0;10.0
15,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,2.0
Avg,,1.0,0.5,1.0,0.25,1.75,23.5;22.5;2.0;2.0;7.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;2.0;2.0;2.0;2.0;2.0;3.5;2.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;10.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
mdd-ls-xp-kb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,1.0,0.5,1.0,0.25,1.75,23.5
2,lsxp-CiShiJian-HuaiHeYing-2.xml,1.0,0.5,1.0,0.5,1.5,22.5
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,7.0
4,lsxp-JiangShenEr-SanJiaDian.xml,0.625,0.5,1.0,0.25,1.5
5,lsxp-JianMaSu-ZhanMaSu.xml,1.0,1.0,1.0,1.0,1.0
6,lsxp-WeiCengKai-QiYuanBao.xml,0.5,0.5,1.0,0.25,1.0
7,lsxp-WoZhuYe-ZhuiHanXin.xml,0.75,0.5,1.0,0.25,1.0,2.0
8,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,0.5,1.0
9,lsxp-ZheYiFeng-DingJunShan.xml,1.0,1.0,1.0,0.5,2.0
10,lsxp-ZouYingLong-DaYanSong.xml,0.5,0.5,0.5,0.25,1.0
11,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,0.9375,1.0,0.9375,1.0,0.5;0.5;0.5;0.75;0.25
12,sdxp-DangNianHan-SanJiZhang.xml,1.0,1.0,1.0,0.5,1.5
13,sdxp-SuLongWei-WuJiaPo.xml,1.0,0.5,1.0,0.5,1.5,2.0;10.0
14,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,2.0
Avg,,1.0,0.5,1.0,0.25,1.75,23.5;22.5;2.0;2.0;7.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;10.0;2.0;2.0;2.0
mdd-ls-xp-kb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
